run_id,model,temperature,commit,variant,case_id,case_type,repetition,reached_route,invented_params,asked_param,over_asked,correct,tool_call_name,tool_call_args,duration_s,error
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-01,missing_param,1,solicitar_parametros,0,1,0,1,detect_drift,{},8.39,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-01,missing_param,2,solicitar_parametros,0,1,0,1,detect_drift,{},0.5,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-01,missing_param,3,solicitar_parametros,0,1,0,1,detect_drift,{},0.48,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-01,missing_param,4,solicitar_parametros,0,1,0,1,detect_drift,{},0.45,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-01,missing_param,5,solicitar_parametros,0,1,0,1,detect_drift,{},0.49,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-02,missing_param,1,fin_texto,0,0,0,0,,{},1.25,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-02,missing_param,2,fin_texto,0,0,0,0,,{},2.01,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-02,missing_param,3,fin_texto,0,0,0,0,,{},2.02,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-02,missing_param,4,fin_texto,0,0,0,0,,{},2.02,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-02,missing_param,5,fin_texto,0,0,0,0,,{},2.03,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-03,missing_param,1,fin_texto,0,0,0,0,,{},1.34,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-03,missing_param,2,fin_texto,0,0,0,0,,{},1.8,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-03,missing_param,3,fin_texto,0,0,0,0,,{},1.9,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-03,missing_param,4,fin_texto,0,0,0,0,,{},1.82,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-03,missing_param,5,fin_texto,0,0,0,0,,{},1.8,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-04,missing_param,1,fin_texto,0,0,0,0,,{},2.08,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-04,missing_param,2,fin_texto,0,0,0,0,,{},1.98,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-04,missing_param,3,fin_texto,0,0,0,0,,{},1.94,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-04,missing_param,4,fin_texto,0,0,0,0,,{},1.92,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,MP-04,missing_param,5,fin_texto,0,0,0,0,,{},2.0,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,AT-01,ambiguous_tool,1,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,"{""column_name"": ""datos_sinteticos""}",1.3,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,AT-01,ambiguous_tool,2,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,"{""column_name"": ""datos_sinteticos""}",1.26,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,AT-01,ambiguous_tool,3,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,"{""column_name"": ""datos_sinteticos""}",1.26,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,AT-01,ambiguous_tool,4,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,"{""column_name"": ""datos_sinteticos""}",1.31,
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,AT-01,ambiguous_tool,5,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,"{""column_name"": ""datos_sinteticos""}",1.21,
