run_id,model,temperature,commit,case_id,case_type,repetition,reached_route,invented_params,asked_param,over_asked,correct,tool_call_name,tool_call_args,duration_s,error
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-01,missing_param,1,solicitar_parametros,0,1,0,1,detect_drift,{},0.71,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-01,missing_param,2,solicitar_parametros,0,1,0,1,detect_drift,{},0.49,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-01,missing_param,3,solicitar_parametros,0,1,0,1,detect_drift,{},0.44,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-01,missing_param,4,solicitar_parametros,0,1,0,1,detect_drift,{},0.43,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-01,missing_param,5,solicitar_parametros,0,1,0,1,detect_drift,{},0.48,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-02,missing_param,1,fin_texto,0,0,0,0,,{},1.54,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-02,missing_param,2,fin_texto,0,0,0,0,,{},1.17,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-02,missing_param,3,fin_texto,0,0,0,0,,{},1.33,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-02,missing_param,4,fin_texto,0,0,0,0,,{},1.44,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-02,missing_param,5,fin_texto,0,0,0,0,,{},1.36,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-03,missing_param,1,fin_texto,0,0,0,0,,{},2.43,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-03,missing_param,2,fin_texto,0,0,0,0,,{},1.73,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-03,missing_param,3,fin_texto,0,0,0,0,,{},1.83,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-03,missing_param,4,fin_texto,0,0,0,0,,{},1.72,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-03,missing_param,5,fin_texto,0,0,0,0,,{},1.84,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-04,missing_param,1,fin_texto,0,0,0,0,,{},1.71,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-04,missing_param,2,fin_texto,0,0,0,0,,{},1.57,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-04,missing_param,3,fin_texto,0,0,0,0,,{},1.96,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-04,missing_param,4,fin_texto,0,0,0,0,,{},2.11,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,MP-04,missing_param,5,fin_texto,0,0,0,0,,{},2.16,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,AT-01,ambiguous_tool,1,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,{},0.57,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,AT-01,ambiguous_tool,2,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,{},0.48,
qwen2.5_3b-instruct-q4_K_M-1779743978,qwen2.5:3b-instruct-q4_K_M,0.1,415cb24,AT-01,ambiguous_tool,3,solicitar_parametros,0,1,0,1,generate_synthetic_distribution,{},0.5,
